         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        6    0.000    0.000    0.000    0.000 pathlib.py:1300(is_dir)
      125    0.000    0.000    0.000    0.000 expr.py:192(<genexpr>)
        7    0.000    0.000    0.000    0.000 _basic.py:933(inv)
      692    0.000    0.000    0.000    0.000 event.py:66(_guard_kind)
        4    0.000    0.000    0.000    0.000 pandas_compat.py:893(<dictcomp>)
        1    0.000    0.000    0.000    0.000 renderer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 builder.py:189(IRBuilder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
       12    0.000    0.000    0.000    0.000 win32.py:115(<genexpr>)
        1    0.000    0.000    0.000    0.000 text.py:590(DollarFormatter)
        1    0.000    0.000    0.000    0.000 _estimator_html_repr.py:25(_get_css_style)
        8    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        1    0.000    0.000    0.000    0.000 difflib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:101(ParserBase)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 payload.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mean_shift.py:1(<module>)
        6    0.000    0.000    0.000    0.000 encoder.py:182(encode)
        1    0.000    0.000    0.000    0.000 scale.py:737(_get_scale_docs)
       14    0.000    0.000    0.000    0.000 core.py:5898(__init__)
       37    0.000    0.000    0.000    0.000 transforms.py:1334(__init_subclass__)
       51    0.000    0.000    0.000    0.000 util.py:58(decorator)
       49    0.000    0.000    0.000    0.000 key_bindings.py:478(decorator)
     1153    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
      258    0.000    0.000    0.000    0.000 typing.py:1217(<genexpr>)
        7    0.000    0.000    0.000    0.000 expatbuilder.py:219(parseString)
       82    0.000    0.000    0.000    0.000 blocks.py:2716(new_block)
     2559    0.000    0.000    0.000    0.000 _metadata_requests.py:306(requests)
        2    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
        8    0.000    0.000    0.000    0.000 win32.py:108(_winapi_test)
        1    0.000    0.000    0.000    0.000 core.py:22(Evaluator)
        1    0.000    0.000    0.000    0.000 _pep440.py:1(<module>)
        5    0.000    0.000    0.000    0.000 common.py:515(get_compression_method)
        1    0.000    0.000    0.000    0.000 _subplots.py:1(<module>)
        1    0.000    0.000    0.000    0.000 write.py:1(<module>)
        3    0.000    0.000    0.000    0.000 stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 series.py:607(_init_dict)
        1    0.000    0.000    0.000    0.000 Common_pb2.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typeconv.py:90(safe)
        2    0.000    0.000    0.000    0.000 _parser.py:666(_parse)
        8    0.000    0.000    0.000    0.000 __init__.py:804(mtime)
      106    0.000    0.000    0.000    0.000 managers.py:2264(<lambda>)
      172    0.000    0.000    0.000    0.000 _config.py:32(get_config)
      392    0.000    0.000    0.000    0.000 utils.py:21(to_filter)
     12/2    0.000    0.000    0.000    0.000 core.py:1545(makeOptionalList)
        1    0.000    0.000    0.000    0.000 {built-in method nt.unlink}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.000    0.000 config.py:1206(_check_conflicts)
      152    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 form.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selection.py:1(<module>)
      545    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
       22    0.000    0.000    0.000    0.000 core.py:4098(_generateDefaultName)
       37    0.000    0.000    0.000    0.000 config.py:390(_logger_message_format)
       24    0.000    0.000    0.000    0.000 argparse.py:275(add_arguments)
        4    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
     1299    0.000    0.000    0.000    0.000 dataclasses.py:424(<genexpr>)
        5    0.000    0.000    0.000    0.000 decorator.py:144(make)
       14    0.000    0.000    0.000    0.000 _color.py:1(<module>)
      196    0.000    0.000    0.000    0.000 docscrape.py:35(__init__)
        1    0.000    0.000    0.000    0.000 color_depth.py:1(<module>)
       33    0.000    0.000    0.000    0.000 ntpath.py:206(split)
        1    0.000    0.000    0.000    0.000 _isomap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:205(filldoc)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:151(one_of)
        1    0.000    0.000    0.000    0.000 _quantile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 magics.py:1(<module>)
       17    0.000    0.000    0.000    0.000 managers.py:1863(from_array)
        1    0.000    0.000    0.000    0.000 _truncated_svd.py:1(<module>)
      263    0.000    0.000    0.000    0.000 _docscrape.py:50(read)
        1    0.000    0.000    0.000    0.000 _theil_sen.py:1(<module>)
        2    0.000    0.000    0.000    0.000 arraylike.py:38(__eq__)
        1    0.000    0.000    0.000    0.000 llvm_pass_timings.py:1(<module>)
        6    0.000    0.000    0.000    0.000 encoder.py:204(iterencode)
        2    0.000    0.000    0.000    0.000 doccer.py:231(unindent_dict)
       41    0.000    0.000    0.000    0.000 getlimits.py:487(__new__)
     1834    0.000    0.000    0.000    0.000 _docscrape.py:153(__getitem__)
        1    0.000    0.000    0.000    0.000 base.py:284(IndexOpsMixin)
        6    0.000    0.000    0.000    0.000 pathlib.py:1316(is_file)
      321    0.000    0.000    0.000    0.000 function_base.py:470(_needs_add_docstring)
      137    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
      241    0.000    0.000    0.000    0.000 construction.py:696(_sanitize_ndim)
        1    0.000    0.000    0.000    0.000 DataFrame_pb2.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      291    0.000    0.000    0.000    0.000 pathlib.py:147(splitroot)
        1    0.000    0.000    0.000    0.000 _partition.py:1(<module>)
       33    0.000    0.000    0.000    0.000 pathlib.py:615(_make_child)
      100    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:1020(__init__)
       12    0.000    0.000    0.000    0.000 _line.py:1(<module>)
        1    0.000    0.000    0.000    0.000 button.py:77(ButtonMixin)
       49    0.000    0.000    0.000    0.000 key_bindings.py:108(__init__)
      369    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 layouts.py:34(LayoutsMixin)
      2/1    0.000    0.000    0.000    0.000 arraylike.py:58(__ge__)
        1    0.000    0.000    0.000    0.000 data_structures.py:1(<module>)
        2    0.000    0.000    0.000    0.000 checkbox.py:59(checkbox)
        1    0.000    0.000    0.000    0.000 storemagic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 options_selector_utils.py:65(convert_to_sequence_and_check_comparable)
        1    0.000    0.000    0.000    0.000 logging.py:1(<module>)
      547    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _huber.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bytecode.py:1(<module>)
       13    0.000    0.000    0.000    0.000 templates.py:1001(make_intrinsic_template)
        1    0.000    0.000    0.000    0.000 shellapp.py:145(InteractiveShellApp)
       82    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
       38    0.000    0.000    0.000    0.000 argparse.py:626(_expand_help)
       40    0.000    0.000    0.000    0.000 argparse.py:257(add_argument)
        2    0.000    0.000    0.000    0.000 dataframe_util.py:334(convert_arrow_table_to_arrow_bytes)
      101    0.000    0.000    0.000    0.000 templates.py:1240(register)
      208    0.000    0.000    0.000    0.000 _docscrape.py:468(_str_section)
        1    0.000    0.000    0.000    0.000 packaging.py:1(<module>)
        1    0.000    0.000    0.000    0.000 doc_string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
      213    0.000    0.000    0.000    0.000 docscrape.py:56(read)
       39    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
       23    0.000    0.000    0.000    0.000 doccer.py:239(unindent_string)
        1    0.000    0.000    0.000    0.000 isoparser.py:1(<module>)
        3    0.000    0.000    0.000    0.000 utils.py:419(check_array_indexer)
        1    0.000    0.000    0.000    0.000 pandas.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:99(__init__)
        1    0.000    0.000    0.000    0.000 macro.py:1(<module>)
        1    0.000    0.000    0.000    0.000 latex_symbols.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pydoc.py:189(getdoc)
       19    0.000    0.000    0.000    0.000 artist.py:24(_prevent_rasterization)
        1    0.000    0.000    0.000    0.000 completion_cache.py:1(<module>)
       12    0.000    0.000    0.000    0.000 extension.py:125(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:301(<listcomp>)
       25    0.000    0.000    0.000    0.000 functools.py:651(cache)
       22    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        2    0.000    0.000    0.000    0.000 dataframe_util.py:458(convert_anything_to_sequence)
        3    0.000    0.000    0.000    0.000 expr.py:280(disallowed)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
      160    0.000    0.000    0.000    0.000 templates.py:182(signature)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
      541    0.000    0.000    0.000    0.000 common.py:1399(_get_dtype)
        1    0.000    0.000    0.000    0.000 pipeline.py:57(Pipeline)
       98    0.000    0.000    0.000    0.000 dataclasses.py:572(<listcomp>)
      130    0.000    0.000    0.000    0.000 _collections_abc.py:909(__iter__)
      156    0.000    0.000    0.000    0.000 blocks.py:2674(get_block_type)
       24    0.000    0.000    0.000    0.000 locale.py:362(_replace_encoding)
     1014    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
       30    0.000    0.000    0.000    0.000 pathlib.py:853(__truediv__)
      303    0.000    0.000    0.000    0.000 _colorconv.py:389(get_xyz_coords)
       76    0.000    0.000    0.000    0.000 script_run_context.py:213(get_script_run_ctx)
      133    0.000    0.000    0.000    0.000 symbol_database.py:72(RegisterMessage)
        1    0.000    0.000    0.000    0.000 alert.py:1(<module>)
      475    0.000    0.000    0.000    0.000 pandas_compat.py:292(_column_name_to_strings)
        1    0.000    0.000    0.000    0.000 _nearest_centroid.py:1(<module>)
        1    0.000    0.000    0.000    0.000 logger.py:91(init_tornado_logs)
       23    0.000    0.000    0.000    0.000 core.py:5228(__init__)
       44    0.000    0.000    0.000    0.000 basevalidators.py:40(<listcomp>)
        1    0.000    0.000    0.000    0.000 sklearn.py:1426(XGBClassifier)
        4    0.000    0.000    0.000    0.000 _decreasing.py:1(<module>)
       32    0.000    0.000    0.000    0.000 take.py:325(_get_take_nd_function)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dict_vectorizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        7    0.000    0.000    0.000    0.000 cast.py:124(maybe_convert_platform)
        6    0.000    0.000    0.000    0.000 deprecation.py:419(make_keyword_only)
        1    0.000    0.000    0.000    0.000 fragment.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Block_pb2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vi_state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collective.py:1(<module>)
      502    0.000    0.000    0.000    0.000 common.py:529(is_string_or_object_np_dtype)
       68    0.000    0.000    0.000    0.000 __init__.py:902(createLock)
        1    0.000    0.000    0.000    0.000 _stacking.py:64(_BaseStacking)
     2143    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 executionengine.py:35(check_jit_execution)
        2    0.000    0.000    0.000    0.000 checkbox.py:269(_checkbox)
        1    0.000    0.000    0.000    0.000 tuple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _docstrings.py:6(DocstringComponents)
        1    0.000    0.000    0.000    0.000 markdown.py:1(<module>)
        3    0.000    0.000    0.000    0.000 common.py:301(maybe_iterable_to_list)
        1    0.000    0.000    0.000    0.000 colorable.py:1(<module>)
       17    0.000    0.000    0.000    0.000 guarded_eval.py:788(_list_methods)
        1    0.000    0.000    0.000    0.000 ultratb.py:322(TBTools)
       20    0.000    0.000    0.000    0.000 builtins.py:144(choose_result_int)
        1    0.000    0.000    0.000    0.000 basedatatypes.py:387(BaseFigure)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
       53    0.000    0.000    0.000    0.000 blocks.py:225(_consolidate_key)
       86    0.000    0.000    0.000    0.000 _param_validation.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 proactor_events.py:1(<module>)
    429/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       13    0.000    0.000    0.000    0.000 textwrap.py:473(indent)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 pygments.py:1(<module>)
      353    0.000    0.000    0.000    0.000 basedatatypes.py:1819(_str_to_dict_path)
     49/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
      2/1    0.000    0.000    0.000    0.000 {built-in method _operator.le}
        1    0.000    0.000    0.000    0.000 eh.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
       77    0.000    0.000    0.000    0.000 extending.py:62(overload)
      641    0.000    0.000    0.000    0.000 {method 'items' of 'google._upb._message._ByNameMap' objects}
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
      129    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
        1    0.000    0.000    0.000    0.000 array_analysis.py:1(<module>)
       71    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        7    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
        1    0.000    0.000    0.000    0.000 backports.py:60(LooseVersion)
       52    0.000    0.000    0.000    0.000 colors.py:1162(__init__)
  306/282    0.000    0.000    0.000    0.000 results.py:173(__init__)
        1    0.000    0.000    0.000    0.000 construction.py:487(<listcomp>)
        9    0.000    0.000    0.000    0.000 managers.py:1764(is_consolidated)
        1    0.000    0.000    0.000    0.000 alert.py:28(AlertMixin)
       44    0.000    0.000    0.000    0.000 typing.py:1250(__repr__)
       98    0.000    0.000    0.000    0.000 docscrape.py:192(_strip)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
      139    0.000    0.000    0.000    0.000 core.py:1983(__eq__)
        1    0.000    0.000    0.000    0.000 codegen.py:1430(initialize_llvm)
        1    0.000    0.000    0.000    0.000 _ni_docstrings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2674(__init__)
      344    0.000    0.000    0.000    0.000 _config.py:24(_get_threadlocal_config)
      435    0.000    0.000    0.000    0.000 inspect.py:199(ismethod)
       23    0.000    0.000    0.000    0.000 ntpath.py:247(dirname)
      173    0.000    0.000    0.000    0.000 indexing.py:2765(check_dict_or_set_indexers)
        1    0.000    0.000    0.000    0.000 serialize.py:146(custom_rebuild)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encode.py:1(<module>)
     1200    0.000    0.000    0.000    0.000 typing_extensions.py:3024(<listcomp>)
      171    0.000    0.000    0.000    0.000 common.py:568(require_length_match)
      341    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
       36    0.000    0.000    0.000    0.000 rcsetup.py:772(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:268(DaskDMatrix)
        4    0.000    0.000    0.000    0.000 dataframe_util.py:224(convert_anything_to_pandas_df)
        1    0.000    0.000    0.000    0.000 application.py:152(Application)
        1    0.000    0.000    0.000    0.000 categorical.py:246(Categorical)
        1    0.000    0.000    0.000    0.000 core.py:2721(MaskedArray)
        1    0.000    0.000    0.000    0.000 _binned_statistic.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:57(comma_separated)
        1    0.000    0.000    0.000    0.000 controlflow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 echo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 graphviz_chart.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _available_if.py:93(<lambda>)
        5    0.000    0.000    0.000    0.000 pathlib.py:995(home)
     1837    0.000    0.000    0.000    0.000 basedatatypes.py:4628(parent)
       13    0.000    0.000    0.000    0.000 core.py:8527(__init__)
        1    0.000    0.000    0.000    0.000 _ransac.py:82(RANSACRegressor)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
      138    0.000    0.000    0.000    0.000 colors.py:980(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 castgraph.py:1(<module>)
     2701    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       78    0.000    0.000    0.000    0.000 core.py:4099(<genexpr>)
       78    0.000    0.000    0.000    0.000 argparse.py:598(_format_args)
        1    0.000    0.000    0.000    0.000 markdown.py:32(MarkdownMixin)
      552    0.000    0.000    0.000    0.000 _docscrape.py:390(<genexpr>)
        9    0.000    0.000    0.000    0.000 managers.py:1772(_consolidate_check)
     1589    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        4    0.000    0.000    0.000    0.000 validation.py:51(_inner_deprecate_positional_args)
        1    0.000    0.000    0.000    0.000 dispatcher.py:839(_rebuild)
       17    0.000    0.000    0.000    0.000 basedatatypes.py:5685(__init__)
        1    0.000    0.000    0.000    0.000 libpath.py:33(<listcomp>)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
       11    0.000    0.000    0.000    0.000 core.py:1704(__call__)
       40    0.000    0.000    0.000    0.000 argparse.py:1812(_add_action)
     1412    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       91    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        3    0.000    0.000    0.000    0.000 traitlets.py:2397(__init__)
      528    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       65    0.000    0.000    0.000    0.000 pathlib.py:621(__str__)
     1977    0.000    0.000    0.000    0.000 inspect.py:2695(annotation)
      504    0.000    0.000    0.000    0.000 basevalidators.py:210(is_simple_array)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2793(NavigationToolbar2)
        5    0.000    0.000    0.000    0.000 markdown.py:33(markdown)
      323    0.000    0.000    0.000    0.000 dataclasses.py:286(__init__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1376(<dictcomp>)
      127    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      444    0.000    0.000    0.000    0.000 argparse.py:1370(register)
       41    0.000    0.000    0.000    0.000 config.py:297(_global_development_mode)
      138    0.000    0.000    0.000    0.000 abstract.py:40(__init__)
        1    0.000    0.000    0.000    0.000 _spectral_embedding.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1988(__init__)
        1    0.000    0.000    0.000    0.000 socketserver.py:1(<module>)
      456    0.000    0.000    0.000    0.000 _param_validation.py:592(<genexpr>)
       85    0.000    0.000    0.000    0.000 token.py:34(__getattr__)
       34    0.000    0.000    0.000    0.000 generic.py:13611(make_doc)
        1    0.000    0.000    0.000    0.000 rrule.py:1(<module>)
      127    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
        9    0.000    0.000    0.000    0.000 common.py:188(all_none)
       48    0.000    0.000    0.000    0.000 pathlib.py:631(__fspath__)
        7    0.000    0.000    0.000    0.000 take.py:287(_get_take_nd_function_cached)
       14    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 TiffTags.py:431(_populate)
      369    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 _bagging.py:287(BaseBagging)
        7    0.000    0.000    0.000    0.000 core.py:1452(__radd__)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
       13    0.000    0.000    0.000    0.000 core.py:8532(getdoc)
      263    0.000    0.000    0.000    0.000 _docscrape.py:16(strip_blank_lines)
        1    0.000    0.000    0.000    0.000 pathlib.py:368(_make_selector)
        1    0.000    0.000    0.000    0.000 actions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patheffects.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ansi_escape_sequences.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
       19    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
      453    0.000    0.000    0.000    0.000 os.py:741(check_str)
        1    0.000    0.000    0.000    0.000 _classification_threshold.py:69(BaseThresholdClassifier)
        1    0.000    0.000    0.000    0.000 nested.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:434(__init__)
        1    0.000    0.000    0.000    0.000 sklearn.py:1169(LGBMRegressor)
       52    0.000    0.000    0.000    0.000 _docscrape.py:476(_str_see_also)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
        2    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        4    0.000    0.000    0.000    0.000 pandas_compat.py:1135(_add_any_metadata)
        4    0.000    0.000    0.000    0.000 basedatatypes.py:5725(__init__)
        1    0.000    0.000    0.000    0.000 websocket_session_manager.py:1(<module>)
      213    0.000    0.000    0.000    0.000 docscrape.py:21(strip_blank_lines)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
        1    0.000    0.000    0.000    0.000 pathlib.py:192(compile_pattern)
        1    0.000    0.000    0.000    0.000 _cubic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tracker.py:17(RabitTracker)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
        3    0.000    0.000    0.000    0.000 win.py:94(name_from_string)
        6    0.000    0.000    0.000    0.000 datetimes.py:2184(_sequence_to_dt64)
        1    0.000    0.000    0.000    0.000 transforms.py:211(BboxBase)
      289    0.000    0.000    0.000    0.000 _distn_infrastructure.py:829(<genexpr>)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:5579(insert)
       31    0.000    0.000    0.000    0.000 base.py:82(shape)
      547    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      544    0.000    0.000    0.000    0.000 __init__.py:34(using_copy_on_write)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 digraphs.py:1(<module>)
      131    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
        8    0.000    0.000    0.000    0.000 core.py:584(_setResultsName)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _column_transformer.py:59(ColumnTransformer)
       62    0.000    0.000    0.000    0.000 basedatatypes.py:5911(__setattr__)
      639    0.000    0.000    0.000    0.000 __init__.py:785(__iter__)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        1    0.000    0.000    0.000    0.000 normalizer.py:1(<module>)
      532    0.000    0.000    0.000    0.000 common.py:123(<lambda>)
      156    0.000    0.000    0.000    0.000 _docscrape.py:29(__init__)
       50    0.000    0.000    0.000    0.000 warnings.py:165(simplefilter)
        1    0.000    0.000    0.000    0.000 config.py:205(process_environ)
        1    0.000    0.000    0.000    0.000 models.py:225(CharsetMatches)
       20    0.000    0.000    0.000    0.000 colors.py:1202(reversed)
       19    0.000    0.000    0.000    0.000 traitlets.py:3860(__init__)
       40    0.000    0.000    0.000    0.000 argparse.py:1649(_add_action)
       12    0.000    0.000    0.000    0.000 doccer.py:136(_doc)
      160    0.000    0.000    0.000    0.000 token.py:15(split)
        1    0.000    0.000    0.000    0.000 core.py:1160(Command)
        1    0.000    0.000    0.000    0.000 rcsetup.py:108(<listcomp>)
       27    0.000    0.000    0.000    0.000 docscrape.py:92(read_to_condition)
        1    0.000    0.000    0.000    0.000 sasreader.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:579(__new__)
     1885    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       92    0.000    0.000    0.000    0.000 getlimits.py:688(__init__)
   115/83    0.000    0.000    0.000    0.000 typing.py:185(_type_repr)
      341    0.000    0.000    0.000    0.000 basedatatypes.py:5169(_in_batch_mode)
        3    0.000    0.000    0.000    0.000 traitlets.py:2426(<listcomp>)
        1    0.000    0.000    0.000    0.000 _pswindows.py:762(Process)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 search.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
       30    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 codegen.py:1408(_customize_tm_features)
        1    0.000    0.000    0.000    0.000 _crosstab.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:114(WINFUNCTYPE)
       29    0.000    0.000    0.000    0.000 series.py:784(name)
       80    0.000    0.000    0.000    0.000 magic_arguments.py:105(_format_action_invocation)
        3    0.000    0.000    0.000    0.000 win.py:71(load_name)
        1    0.000    0.000    0.000    0.000 codegen.py:1337(_get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 handlers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axisgrid.py:368(FacetGrid)
       21    0.000    0.000    0.000    0.000 cast.py:551(maybe_promote)
       68    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        5    0.000    0.000    0.000    0.000 decorator.py:75(__init__)
       29    0.000    0.000    0.000    0.000 basevalidators.py:2439(__init__)
      366    0.000    0.000    0.000    0.000 abstract.py:20(_autoincr)
        3    0.000    0.000    0.000    0.000 queues.py:1(<module>)
       41    0.000    0.000    0.000    0.000 env_util.py:28(is_pex)
        1    0.000    0.000    0.000    0.000 codegen.py:1438(get_host_cpu_features)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        6    0.000    0.000    0.000    0.000 common.py:235(compute_widget_id)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 utils.py:106(LazyFile)
      220    0.000    0.000    0.000    0.000 base.py:238(construct_from_string)
      183    0.000    0.000    0.000    0.000 textwrap.py:485(prefixed_lines)
        1    0.000    0.000    0.000    0.000 tokenutil.py:1(<module>)
       10    0.000    0.000    0.000    0.000 cast.py:1605(maybe_cast_to_integer_array)
        1    0.000    0.000    0.000    0.000 _target.py:24(TransformedTargetRegressor)
