         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.005    0.000    0.198    0.002 artist.py:1600(pprint_setters)
       14    0.001    0.000    0.197    0.014 _base.py:1(<module>)
        1    0.000    0.000    0.195    0.195 _knn.py:1(<module>)
        2    0.000    0.000    0.195    0.097 distributions.py:1(<module>)
        3    0.000    0.000    0.194    0.065 application.py:1(<module>)
    10761    0.011    0.000    0.191    0.000 re.py:288(_compile)
    19932    0.118    0.000    0.182    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     4135    0.005    0.000    0.181    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  278/249    0.001    0.000    0.179    0.001 importers.py:23(__getattr__)
      522    0.003    0.000    0.172    0.000 sre_compile.py:783(compile)
     3764    0.003    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        5    0.000    0.000    0.167    0.033 frame.py:5433(drop)
        5    0.000    0.000    0.167    0.033 generic.py:4757(drop)
        5    0.000    0.000    0.167    0.033 generic.py:4796(_drop_axis)
        7    0.000    0.000    0.165    0.024 managers.py:623(reindex_indexer)
        6    0.000    0.000    0.164    0.027 managers.py:708(_slice_take_blocks_ax0)
    36/34    0.000    0.000    0.164    0.005 take.py:59(take_nd)
       20    0.000    0.000    0.164    0.008 blocks.py:1287(take_nd)
     4144    0.014    0.000    0.163    0.000 artist.py:1469(get_valid_values)
       32    0.093    0.003    0.158    0.005 take.py:120(_take_nd_ndarray)
3052/2451    0.018    0.000    0.155    0.000 inspect.py:2375(_signature_from_callable)
     2408    0.002    0.000    0.154    0.000 inspect.py:3252(signature)
        1    0.000    0.000    0.153    0.153 _chart_types.py:1(<module>)
     2408    0.002    0.000    0.151    0.000 inspect.py:2998(from_callable)
        1    0.000    0.000    0.147    0.147 _imshow.py:1(<module>)
      670    0.000    0.000    0.146    0.000 re.py:249(compile)
        4    0.000    0.000    0.143    0.036 frame.py:6239(reset_index)
       39    0.004    0.000    0.139    0.004 _doc.py:611(make_docstring)
        7    0.000    0.000    0.139    0.020 generic.py:6662(copy)
        9    0.000    0.000    0.138    0.015 managers.py:557(copy)
        9    0.000    0.000    0.138    0.015 managers.py:317(apply)
       21    0.000    0.000    0.138    0.007 blocks.py:790(copy)
     3059    0.013    0.000    0.138    0.000 inspect.py:813(getsourcefile)
   341/67    0.002    0.000    0.138    0.002 basedatatypes.py:4805(__setitem__)
        6    0.000    0.000    0.137    0.023 config.py:1(<module>)
     1017    0.135    0.000    0.135    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.133    0.033 parquet.py:51(get_engine)
        4    0.000    0.000    0.133    0.033 parquet.py:162(__init__)
        1    0.001    0.001    0.132    0.132 _continuous_distns.py:1(<module>)
     7235    0.078    0.000    0.132    0.000 inspect.py:744(cleandoc)
        2    0.000    0.000    0.129    0.064 debugger.py:1(<module>)
     1202    0.001    0.000    0.127    0.000 textwrap.py:350(wrap)
     1164    0.001    0.000    0.126    0.000 textwrap.py:364(fill)
       14    0.000    0.000    0.125    0.009 __init__.py:337(__getattr__)
        2    0.000    0.000    0.124    0.062 _array_api.py:1(<module>)
        1    0.000    0.000    0.122    0.122 _nca.py:1(<module>)
        1    0.000    0.000    0.119    0.119 contour.py:1(<module>)
        1    0.000    0.000    0.118    0.118 _sputils.py:1(<module>)
        2    0.000    0.000    0.118    0.059 frame.py:1(<module>)
        4    0.000    0.000    0.117    0.029 _util.py:1(<module>)
     7169    0.007    0.000    0.115    0.000 inspect.py:725(getdoc)
     2901    0.003    0.000    0.113    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.112    0.112 rcsetup.py:1(<module>)
        1    0.000    0.000    0.111    0.111 backend_bases.py:1(<module>)
     2702    0.003    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     5404    0.021    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        5    0.000    0.000    0.106    0.021 text.py:1(<module>)
        7    0.000    0.000    0.105    0.015 decorators.py:1(<module>)
        1    0.000    0.000    0.105    0.105 completer.py:1(<module>)
     2997    0.013    0.000    0.105    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      109    0.002    0.000    0.104    0.001 _distn_infrastructure.py:1841(__init__)
      522    0.002    0.000    0.103    0.000 sre_parse.py:944(parse)
 1569/525    0.005    0.000    0.098    0.000 sre_parse.py:436(_parse_sub)
136022/134813    0.043    0.000    0.095    0.000 {built-in method builtins.getattr}
 2015/584    0.036    0.000    0.095    0.000 sre_parse.py:494(_parse)
      682    0.002    0.000    0.093    0.000 basedatatypes.py:4335(_get_validator)
        1    0.000    0.000    0.092    0.092 stencil.py:1(<module>)
3926/3629    0.004    0.000    0.091    0.000 typing.py:306(inner)
      682    0.001    0.000    0.090    0.000 validator_cache.py:8(get_validator)
      233    0.003    0.000    0.089    0.000 _metadata_requests.py:1357(__init_subclass__)
        2    0.089    0.045    0.089    0.045 core.py:1816(__setstate__)
        1    0.000    0.000    0.088    0.088 ForwardMsg_pb2.py:1(<module>)
      233    0.005    0.000    0.085    0.000 _metadata_requests.py:1433(_get_default_requests)
        2    0.000    0.000    0.085    0.042 _core.py:1(<module>)
     1202    0.053    0.000    0.080    0.000 textwrap.py:241(_wrap_chunks)
        1    0.000    0.000    0.079    0.079 app_session.py:1(<module>)
       89    0.000    0.000    0.079    0.001 traitlets.py:965(__init__)
       88    0.007    0.000    0.079    0.001 traitlets.py:994(setup_class)
      122    0.000    0.000    0.078    0.001 __init__.py:294(__getattr__)
     2436    0.026    0.000    0.078    0.000 inspect.py:2280(_signature_from_function)
        2    0.000    0.000    0.077    0.038 accessors.py:1(<module>)
     2330    0.005    0.000    0.076    0.000 _metadata_requests.py:1395(_build_request_for_signature)
      423    0.029    0.000    0.076    0.000 doccer.py:13(docformat)
      218    0.001    0.000    0.076    0.000 artist.py:1421(__init__)
      218    0.011    0.000    0.075    0.000 artist.py:1441(get_aliases)
        1    0.000    0.000    0.075    0.075 compute.py:1(<module>)
        1    0.000    0.000    0.073    0.073 collections.py:1(<module>)
        5    0.000    0.000    0.073    0.015 registry.py:1(<module>)
      244    0.071    0.000    0.071    0.000 {built-in method numpy.empty}
     5669    0.004    0.000    0.070    0.000 <frozen importlib._bootstrap>:391(cached)
      129    0.001    0.000    0.070    0.001 _distn_infrastructure.py:821(_construct_doc)
        1    0.000    0.000    0.069    0.069 f2py2e.py:1(<module>)
     1925    0.009    0.000    0.069    0.000 textwrap.py:422(dedent)
        3    0.000    0.000    0.068    0.023 frame.py:694(__init__)
        1    0.000    0.000    0.068    0.068 construction.py:423(dict_to_mgr)
        1    0.000    0.000    0.068    0.068 dispatcher.py:1(<module>)
     6131    0.036    0.000    0.068    0.000 ntpath.py:489(normpath)
        1    0.000    0.000    0.067    0.067 buffer.py:1(<module>)
       89    0.003    0.000    0.067    0.001 traitlets.py:972(setup_class)
        1    0.006    0.006    0.067    0.067 construction.py:96(arrays_to_mgr)
     2749    0.066    0.000    0.066    0.000 {method '__exit__' of '_io._IOBase' objects}
     2967    0.004    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      522    0.001    0.000    0.065    0.000 sre_compile.py:622(_code)
        1    0.000    0.000    0.064    0.064 _laplacian.py:1(<module>)
        1    0.000    0.000    0.064    0.064 _dict_learning.py:1(<module>)
        1    0.000    0.000    0.064    0.064 _axes.py:1(<module>)
        1    0.000    0.000    0.062    0.062 datasets.py:1(<module>)
        1    0.000    0.000    0.062    0.062 compiler.py:1(<module>)
        1    0.001    0.001    0.062    0.062 compute.py:307(_make_global_functions)
      261    0.001    0.000    0.061    0.000 compute.py:291(_wrap_function)
        2    0.000    0.000    0.061    0.030 formatters.py:1(<module>)
       13    0.000    0.000    0.060    0.005 version.py:1(<module>)
       52    0.001    0.000    0.060    0.001 _axis_nan_policy.py:413(axis_nan_policy_decorator)
        1    0.000    0.000    0.060    0.060 colors.py:1(<module>)
